"id","symbol","date","setup","main_trend_m15","internal_trend_m5","entry_type","entry_level","position_size","take_profit","stop_loss","exit_level","potential_rrr","actual_rrr","trade_duration","trade_result","notes","chart_image_url","liquidity_level","deviation","session_nyc","session_london","session_asia","session_time","trend_alignment","smart_money_concept","market_structure","advanced_pattern","chart_pattern","fundamental_news","wick_fill","spread_size","psychological_level","trade_management","exit_reason","advanced_exit","liquidation_level","liquidation_entry","user_id","created_at","updated_at","profit_loss","is_win","rr_achieved","rr_potential"
"1","EURUSD","2025-05-20 20:20:05.633591+00","OZEM","","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-20 20:20:05.633591+00","2025-05-21 15:07:14.559+00","0","false","0","0"
"2","","2025-05-21 15:03:00+00","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 15:03:05.468+00","2025-05-21 20:24:23.414+00","0","false","0","0"
"3","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 15:03:21.717+00","2025-05-21 15:03:21.717+00","0","false","0","0"
"4","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 19:55:49.006+00","2025-05-21 19:55:49.006+00","0","false","0","0"
"5","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 19:58:50.846+00","2025-05-21 19:58:50.846+00","0","false","0","0"
"6","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 20:16:31.173+00","2025-05-21 20:16:31.173+00","0","false","0","0"
"7","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 20:27:48.185+00","2025-05-21 20:27:48.185+00","0","false","0","0"
"8","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 20:30:45.806+00","2025-05-21 20:30:45.806+00","0","false","0","0"
"9","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 20:35:20.728+00","2025-05-21 20:35:20.728+00","0","false","0","0"
"10","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 20:36:09.004+00","2025-05-21 20:36:09.004+00","0","false","0","0"
"11","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2025-05-21 20:40:13.721+00","2025-05-21 20:40:13.721+00","0","false","0","0"
"12","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:44:23.504+00","2025-05-21 20:44:23.504+00","0","false","0","0"
"13","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:44:49.95+00","2025-05-21 20:44:49.95+00","0","false","0","0"
"14","MNQM5","2025-04-25 15:47:03+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:47:34.154+00","2025-05-21 20:47:34.154+00","0","false","0","0"
"15","MNQM5","2025-04-25 15:47:03+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:47:35.868+00","2025-05-21 20:47:35.868+00","0","false","0","0"
"16","MNQM5","2025-04-25 15:53:36+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:47:53.419+00","2025-05-21 20:47:53.419+00","0","false","0","0"
"17","MNQM5","2025-04-28 15:31:15+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:47:55.223+00","2025-05-21 20:47:55.223+00","0","false","0","0"
"18","MNQM5","2025-04-28 15:31:56+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:47:56.738+00","2025-05-21 20:47:56.738+00","0","false","0","0"
"19","MNQM5","2025-04-28 15:31:56+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:47:58.295+00","2025-05-21 20:47:58.295+00","0","false","0","0"
"20","MNQM5","2025-04-28 15:33:11+00","","","","Long","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2025-05-21 20:47:59.741+00","2025-05-21 20:47:59.741+00","0","false","0","0"
